,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
1395,1395,Kappa Coronae Borealis b,98,2.17 Jupiters,4.79,2007,Gas Giant,1.19 x Jupiter,2.65 AU,3.5 years,0.17,kap CrB,Radial Velocity,,15h51m13.93s,+35d39m26.6s
1396,1396,Kapteyn c,13,7 Earths,8.845,2014,Neptune-like,0.227 x Jupiter,0.311 AU,121.5 days,0.23,Kapteyn,Radial Velocity,,05h11m40.58s,-45d01m06.3s
3839,3839,L 168-9 b,82,4.6 Earths,11.014,2020,Super Earth,1.39 x Earth,0.02091 AU,1.4 days,< 0.21,L 168-9,Transit,85.5,23h20m07.53s,-60d03m54.7s
3840,3840,L 98-59 b,35,1.01 Earths,11.685,2019,Super Earth,0.8 x Earth,0.02282 AU,2.3 days,< 0.12,L 98-59,Transit,,08h18m07.62s,-68d18m46.80s
3841,3841,L 98-59 c,35,2.42 Earths,11.685,2019,Super Earth,1.35 x Earth,0.0317 AU,3.7 days,< 0.07,L 98-59,Transit,,08h18m07.62s,-68d18m46.80s
3842,3842,L 98-59 d,35,2.31 Earths,11.685,2019,Super Earth,1.57 x Earth,0.0506 AU,7.5 days,< 0.09,L 98-59,Transit,,08h18m07.62s,-68d18m46.80s
3843,3843,LHS 1140 b,49,6.98 Earths,14.18,2017,Super Earth,1.727 x Earth,0.0936 AU,24.7 days,< 0.06,LHS 1140,Transit,89.89,00h44m59.34s,-15d16m17.5s
3844,3844,LHS 1140 c,49,1.81 Earths,14.18,2018,Super Earth,1.282 x Earth,0.02675 AU,3.8 days,< 0.31,LHS 1140,Transit,89.92,00h44m59.34s,-15d16m17.5s
3845,3845,LHS 1815 b,97,8.7 Earths,12.15,2020,Super Earth,1.088 x Earth,0.0404 AU,3.8 days,0,LHS 1815,Transit,88.125,06h04m20.36s,-55d18m46.8s
3846,3846,LHS 3844 b,49,2.25 Earths,15.26,2019,Super Earth,1.303 x Earth,0.00622 AU,0.5 days,0,LHS 3844,Transit,88.5,22h41m58.10s,-69d10m08.4s
