,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
163,163,GJ 1148 c,36,0.21414 Jupiters,11.92,2017,Gas Giant,0.866 x Jupiter,0.912 AU,1.5 years,0.34,GJ 1148,Radial Velocity,,11h41m44.63s,+42d45m07.1s
164,164,GJ 1214 b,48,6.26125 Earths,15.1,2009,Neptune-like,0.254 x Jupiter,0.01411 AU,1.6 days,0,GJ 1214,Transit,88.17,17h15m18.92s,+04d57m50.1s
165,165,GJ 1252 b,66,2.09 Earths,12.193,2020,Super Earth,1.193 x Earth,0.00916 AU,0.5 days,0,GJ 1252,Transit,85,20h27m42.06s,-56d27m25.2s
166,166,GJ 1265 b,33,7.4 Earths,13.57,2018,Neptune-like,0.234 x Jupiter,0.026 AU,3.7 days,0.04,GJ 1265,Radial Velocity,,22h13m42.88s,-17d41m08.8s
167,167,GJ 143 b,53,22.7 Earths,7.87,2019,Neptune-like,0.233 x Jupiter,0.1915 AU,35.6 days,0.19,GJ 143,Transit,89.33,03h26m59.22s,-63d29m56.8s
168,168,GJ 15 A b,12,3.03 Earths,8.08,2014,Super Earth,1.55 x Earth,0.072 AU,11.4 days,0.09,GJ 15 A,Radial Velocity,,00h18m22.89s,+44d01m22.6s
169,169,GJ 15 A c,12,36 Earths,8.08,2018,Neptune-like,0.595 x Jupiter,5.4 AU,20.8 years,0.27,GJ 15 A,Radial Velocity,,00h18m22.89s,+44d01m22.6s
170,170,GJ 160.2 b,84,10.2 Earths,9.68,2014,Neptune-like,0.283 x Jupiter,0.053 AU,5.2 days,0.06,GJ 160.2,Radial Velocity,,04h06m34.84s,-20d51m11.2s
171,171,GJ 163 b,49,10.6 Earths,11.81,2013,Neptune-like,0.29 x Jupiter,0.0607 AU,8.6 days,0.07,GJ 163,Radial Velocity,,04h09m15.67s,-53d22m25.3s
172,172,GJ 163 c,49,6.8 Earths,11.81,2013,Neptune-like,0.223 x Jupiter,0.1254 AU,25.6 days,0.1,GJ 163,Radial Velocity,,04h09m15.67s,-53d22m25.3s
173,173,GJ 163 d,49,29.4 Earths,11.81,2013,Neptune-like,0.528 x Jupiter,1.0304 AU,1.7 years,0.37,GJ 163,Radial Velocity,,04h09m15.67s,-53d22m25.3s
174,174,GJ 179 b,40,0.82 Jupiters,12,2009,Gas Giant,1.24 x Jupiter,2.41 AU,6.3 years,0.21,GJ 179,Radial Velocity,,04h52m05.73s,+06d28m35.5s
175,175,GJ 180 b,39,6.49 Earths,10.91,2014,Neptune-like,0.217 x Jupiter,0.092 AU,17.1 days,0.07,GJ 180,Radial Velocity,,04h53m49.98s,-17d46m24.3s
176,176,GJ 180 c,39,6.4 Earths,10.91,2014,Neptune-like,0.215 x Jupiter,0.129 AU,24.3 days,0.09,GJ 180,Radial Velocity,,04h53m49.98s,-17d46m24.3s
177,177,GJ 180 d,39,7.56 Earths,10.91,2020,Neptune-like,0.237 x Jupiter,0.309 AU,106.3 days,0.14,GJ 180,Radial Velocity,,04h53m49.98s,-17d46m24.3s
178,178,GJ 2056 b,93,16.2 Earths,10.37,2020,Neptune-like,0.372 x Jupiter,0.283 AU,70 days,0.72,GJ 2056,Radial Velocity,,07h12m04.81s,-24d53m31.5s
179,179,GJ 229 A c,19,7.268 Earths,8.14,2020,Neptune-like,0.232 x Jupiter,0.339 AU,122 days,0.19,GJ 229,Radial Velocity,,06h10m34.62s,-21d51m52.7s
180,180,GJ 229 b,19,8.478 Earths,8.14,2014,Neptune-like,0.254 x Jupiter,0.898 AU,1.4 years,0.1,GJ 229,Radial Velocity,,06h10m34.62s,-21d51m52.7s
181,181,GJ 27.1 b,77,13 Earths,11.42,2014,Neptune-like,0.327 x Jupiter,0.101 AU,15.8 days,0.08,GJ 27.1,Radial Velocity,,00h39m58.82s,-44d15m11.6s
182,182,GJ 273 b,12,2.89 Earths,9.872,2017,Super Earth,1.51 x Earth,0.091101 AU,18.6 days,0.1,GJ 273,Radial Velocity,,07h27m24.50s,+05d13m32.8s
183,183,GJ 273 c,12,1.18 Earths,9.872,2017,Super Earth,1.06 x Earth,0.036467 AU,4.7 days,0.17,GJ 273,Radial Velocity,,07h27m24.50s,+05d13m32.8s
184,184,GJ 3021 b,57,3.37 Jupiters,6.59,2000,Gas Giant,1.17 x Jupiter,0.49 AU,133.7 days,0.51,GJ 3021,Radial Velocity,,00h16m12.68s,-79d51m04.3s
185,185,GJ 3082 b,54,8.2 Earths,11.077,2020,Neptune-like,0.249 x Jupiter,0.079 AU,11.9 days,0.22,GJ 3082,Radial Velocity,,01h14m34.20s,-53d56m31.6s
186,186,GJ 3138 b,93,1.78 Earths,10.98,2017,Super Earth,1.18 x Earth,0.0197 AU,1.2 days,0.19,GJ 3138,Radial Velocity,,02h09m10.90s,-16d20m22.5s
187,187,GJ 3138 c,93,4.18 Earths,10.98,2017,Super Earth,1.88 x Earth,0.057 AU,6 days,0.11,GJ 3138,Radial Velocity,,02h09m10.90s,-16d20m22.5s
188,188,GJ 3138 d,93,10.5 Earths,10.98,2017,Neptune-like,0.288 x Jupiter,0.698 AU,257.8 days,0.32,GJ 3138,Radial Velocity,,02h09m10.90s,-16d20m22.5s
189,189,GJ 317 b,49,2.5 Jupiters,11.97,2007,Gas Giant,1.18 x Jupiter,1.151 AU,1.9 years,0.07,GJ 317,Radial Velocity,,08h40m59.22s,-23d27m22.6s
190,190,GJ 317 c,49,1.64396 Jupiters,11.97,2018,Gas Giant,1.2 x Jupiter,5.23 AU,18.5 years,0.17,GJ 317,Radial Velocity,,08h40m59.22s,-23d27m22.6s
191,191,GJ 328 b,67,2.3 Jupiters,9.97,2013,Gas Giant,1.19 x Jupiter,4.5 AU,11.2 years,0.37,GJ 328,Radial Velocity,,08h55m07.62s,+01d32m47.4s
192,192,GJ 3293 b,66,23.54 Earths,11.962,2015,Neptune-like,0.463 x Jupiter,0.14339 AU,30.6 days,0.06,GJ 3293,Radial Velocity,,04h28m35.72s,-25d10m09.5s
193,193,GJ 3293 c,66,21.09 Earths,11.962,2015,Neptune-like,0.434 x Jupiter,0.36175 AU,122.6 days,0.11,GJ 3293,Radial Velocity,,04h28m35.72s,-25d10m09.5s
194,194,GJ 3293 d,66,7.6 Earths,11.962,2017,Neptune-like,0.238 x Jupiter,0.19394 AU,48.1 days,0.12,GJ 3293,Radial Velocity,,04h28m35.72s,-25d10m09.5s
195,195,GJ 3293 e,66,3.28 Earths,11.962,2017,Super Earth,1.63 x Earth,0.08208 AU,13.3 days,0.21,GJ 3293,Radial Velocity,,04h28m35.72s,-25d10m09.5s
196,196,GJ 3323 b,17,2.02 Earths,12.22,2017,Super Earth,1.23 x Earth,0.03282 AU,5.4 days,0.23,GJ 3323,Radial Velocity,,05h01m57.43s,-06d56m46.5s
197,197,GJ 3323 c,17,2.31 Earths,12.22,2017,Super Earth,1.32 x Earth,0.1264 AU,40.5 days,0.17,GJ 3323,Radial Velocity,,05h01m57.43s,-06d56m46.5s
198,198,GJ 3341 b,76,6.6 Earths,12.08,2015,Neptune-like,0.219 x Jupiter,0.089 AU,14.2 days,0.31,GJ 3341,Radial Velocity,,05h15m46.72s,-31d17m45.4s
199,199,GJ 338 B b,21,10.27 Earths,7.7,2020,Neptune-like,0.284 x Jupiter,0.141 AU,24.5 days,0.11,GJ 338 B,Radial Velocity,,09h14m24.70s,+52d41m10.9s
200,200,GJ 3470 b,96,13.9 Earths,12.33,2012,Neptune-like,0.408 x Jupiter,0.0355 AU,3.3 days,0.02,GJ 3470,Radial Velocity,89.13,07h59m05.84s,+15d23m29.4s
201,201,GJ 3512 b,31,0.463 Jupiters,15.05,2019,Gas Giant,1.27 x Jupiter,0.338 AU,203.6 days,0.44,GJ 3512,Radial Velocity,,08h41m20.13s,+59d29m50.6s
202,202,GJ 357 b,31,1.84 Earths,10.92,2019,Super Earth,1.217 x Earth,0.035 AU,3.9 days,0,GJ 357,Transit,89.12,09h36m01.64s,-21d39m38.9s
203,203,GJ 357 c,31,3.4 Earths,10.92,2019,Super Earth,1.66 x Earth,0.061 AU,9.1 days,0,GJ 357,Radial Velocity,,09h36m01.64s,-21d39m38.9s
204,204,GJ 357 d,31,6.1 Earths,10.92,2019,Neptune-like,0.209 x Jupiter,0.204 AU,55.7 days,0,GJ 357,Radial Velocity,,09h36m01.64s,-21d39m38.9s
205,205,GJ 3634 b,65,8.4 Earths,11.93,2010,Neptune-like,0.253 x Jupiter,0.0287 AU,2.6 days,0.08,GJ 3634,Radial Velocity,59,10h58m35.10s,-31d08m38.4s
206,206,GJ 3779 b,45,8 Earths,12.96,2018,Neptune-like,0.245 x Jupiter,0.026 AU,3 days,0.07,GJ 3779,Radial Velocity,,13h22m56.74s,+24d28m03.5s
207,207,GJ 3942 b,55,7.14 Earths,10.25,2017,Neptune-like,0.229 x Jupiter,0.0608 AU,6.9 days,0.12,GJ 3942,Radial Velocity,,16h09m03.14s,+52d56m37.9s
208,208,GJ 3998 b,59,2.47 Earths,10.83,2016,Super Earth,1.38 x Earth,0.029 AU,2.6 days,0,GJ 3998,Radial Velocity,,17h16m00.64s,+11d03m27.6s
209,209,GJ 3998 c,59,6.26 Earths,10.83,2016,Neptune-like,0.212 x Jupiter,0.089 AU,13.7 days,0.05,GJ 3998,Radial Velocity,,17h16m00.64s,+11d03m27.6s
210,210,GJ 411 b,8,2.99 Earths,7.49,2019,Super Earth,1.54 x Earth,0.0785 AU,13 days,0.22,GJ 411,Radial Velocity,,11h03m20.19s,+35d58m11.6s
211,211,GJ 422 b,41,11.07 Earths,11.55,2014,Neptune-like,0.297 x Jupiter,0.111 AU,20.1 days,0.11,GJ 422,Radial Velocity,,11h16m00.21s,-57d32m51.6s
212,212,GJ 4276 b,70,16.57 Earths,11.66,2019,Neptune-like,0.377 x Jupiter,0.082 AU,13.4 days,0.37,GJ 4276,Radial Velocity,,22h25m17.05s,+59d24m49.8s
213,213,GJ 433 b,30,6.043 Earths,9.806,2011,Neptune-like,0.208 x Jupiter,0.062 AU,7.4 days,0.04,GJ 433,Radial Velocity,,11h35m26.95s,-32d32m23.9s
214,214,GJ 433 c,30,32.422 Earths,9.806,2014,Neptune-like,0.56 x Jupiter,4.819 AU,14 years,0.12,GJ 433,Radial Velocity,,11h35m26.95s,-32d32m23.9s
215,215,GJ 433 d,30,5.223 Earths,9.806,2020,Neptune-like,2.14 x Earth,0.178 AU,36.1 days,0.07,GJ 433,Radial Velocity,,11h35m26.95s,-32d32m23.9s
216,216,GJ 436 b,32,22.1 Earths,10.67,2004,Neptune-like,0.372 x Jupiter,0.0291 AU,2.6 days,0.14,GJ 436,Radial Velocity,86.44,11h42m11.09s,+26d42m23.7s
217,217,GJ 480 b,46,13.2 Earths,11.51,2020,Neptune-like,0.33 x Jupiter,0.068 AU,9.6 days,0.1,GJ 480,Radial Velocity,,12h38m52.44s,+11d41m46.2s
218,218,GJ 504 b,57,4 Jupiters,5.22,2013,Gas Giant,1.16 x Jupiter,43.5 AU,259.9 years,0,GJ 504,Imaging,,13h16m46.52s,+09d25m27.0s
219,219,GJ 536 b,34,5.36 Earths,9.72,2016,Neptune-like,2.17 x Earth,0.06661 AU,8.7 days,0.08,GJ 536,Radial Velocity,,14h01m03.19s,-02d39m17.5s
220,220,GJ 581 b,21,15.8 Earths,10.56,2005,Neptune-like,0.366 x Jupiter,0.04061 AU,5.4 days,0,GJ 581,Radial Velocity,,15h19m26.82s,-07d43m20.2s
221,221,GJ 581 c,21,5.5 Earths,10.56,2007,Neptune-like,2.21 x Earth,0.0721 AU,12.9 days,0,GJ 581,Radial Velocity,,15h19m26.82s,-07d43m20.2s
222,222,GJ 581 e,21,1.7 Earths,10.56,2009,Super Earth,1.17 x Earth,0.02815 AU,3.1 days,0,GJ 581,Radial Velocity,,15h19m26.82s,-07d43m20.2s
223,223,GJ 625 b,21,2.82 Earths,10.1,2017,Super Earth,1.49 x Earth,0.078361 AU,14.6 days,0.13,GJ 625,Radial Velocity,,16h25m24.62s,+54d18m14.8s
224,224,GJ 649 b,34,0.328 Jupiters,9.69,2009,Gas Giant,1.11 x Jupiter,1.135 AU,1.6 years,0.3,GJ 649,Radial Velocity,,16h58m08.85s,+25d44m39.0s
225,225,GJ 667 C b,22,5.6 Earths,10.22,2011,Neptune-like,2.23 x Earth,0.0505 AU,7.2 days,0.13,GJ 667 C,Radial Velocity,,17h18m58.82s,-34d59m48.6s
226,226,GJ 667 C c,22,3.8 Earths,10.22,2011,Super Earth,1.77 x Earth,0.125 AU,28.1 days,0.02,GJ 667 C,Radial Velocity,,17h18m58.82s,-34d59m48.6s
227,227,GJ 667 C e,22,2.7 Earths,10.22,2013,Super Earth,1.45 x Earth,0.213 AU,62.2 days,0.02,GJ 667 C,Radial Velocity,,17h18m58.82s,-34d59m48.6s
228,228,GJ 667 C f,22,2.7 Earths,10.22,2013,Super Earth,1.45 x Earth,0.156 AU,39 days,0.03,GJ 667 C,Radial Velocity,,17h18m58.82s,-34d59m48.6s
229,229,GJ 667 C g,22,4.6 Earths,10.22,2013,Super Earth,1.99 x Earth,0.549 AU,256.2 days,0.08,GJ 667 C,Radial Velocity,,17h18m58.82s,-34d59m48.6s
230,230,GJ 674 b,15,11.09 Earths,9.37,2007,Neptune-like,0.297 x Jupiter,0.039 AU,4.7 days,0.2,GJ 674,Radial Velocity,,17h28m39.95s,-46d53m42.7s
231,231,GJ 676 A b,52,6.7 Jupiters,9.58,2010,Gas Giant,1.13 x Jupiter,1.82 AU,2.9 years,0.33,GJ 676 A,Radial Velocity,,17h30m11.21s,-51d38m13.1s
232,232,GJ 676 A c,52,6.8 Jupiters,9.58,2016,Gas Giant,1.13 x Jupiter,6.6 AU,20.1 years,0,GJ 676 A,Radial Velocity,,17h30m11.21s,-51d38m13.1s
233,233,GJ 676 A d,52,4.4 Earths,9.58,2012,Super Earth,1.93 x Earth,0.0413 AU,3.6 days,0.26,GJ 676 A,Radial Velocity,,17h30m11.21s,-51d38m13.1s
234,234,GJ 676 A e,52,8.1 Earths,9.58,2012,Neptune-like,0.247 x Jupiter,0.187 AU,35.4 days,0.13,GJ 676 A,Radial Velocity,,17h30m11.21s,-51d38m13.1s
235,235,GJ 682 b,16,4.4 Earths,10.97,2014,Super Earth,1.93 x Earth,0.08 AU,17.5 days,0.08,GJ 682,Radial Velocity,,17h37m03.66s,-44d19m09.2s
236,236,GJ 682 c,16,8.7 Earths,10.97,2014,Neptune-like,0.258 x Jupiter,0.176 AU,57.3 days,0.1,GJ 682,Radial Velocity,,17h37m03.66s,-44d19m09.2s
237,237,GJ 685 b,47,9 Earths,9.97,2019,Neptune-like,0.263 x Jupiter,0.1344 AU,24.2 days,0,GJ 685,Radial Velocity,,17h35m34.48s,+61d40m53.6s
238,238,GJ 687 b,15,17.2 Earths,9.15,2014,Neptune-like,0.385 x Jupiter,0.163 AU,38.1 days,0.17,GJ 687,Radial Velocity,,17h36m25.90s,+68d20m20.9s
239,239,GJ 687 c,15,16 Earths,9.15,2020,Neptune-like,0.369 x Jupiter,1.165 AU,2 years,0.4,GJ 687,Radial Velocity,,17h36m25.90s,+68d20m20.9s
240,240,GJ 832 b,16,0.68 Jupiters,8.66,2008,Gas Giant,1.25 x Jupiter,3.56 AU,10 years,0.08,GJ 832,Radial Velocity,,21h33m33.98s,-49d00m32.4s
241,241,GJ 832 c,16,5.4 Earths,8.66,2014,Neptune-like,2.18 x Earth,0.163 AU,35.7 days,0.18,GJ 832,Radial Velocity,,21h33m33.98s,-49d00m32.4s
242,242,GJ 849 b,29,1 Jupiter,10.37,2006,Gas Giant,1.23 x Jupiter,2.35 AU,5.2 years,0.04,GJ 849,Radial Velocity,,22h09m40.35s,-04d38m26.6s
243,243,GJ 86 b,35,4.42 Jupiters,6.12,1999,Gas Giant,1.15 x Jupiter,0.11 AU,15.8 days,0.04,GJ 86,Radial Velocity,,02h10m25.93s,-50d49m25.4s
244,244,GJ 876 b,15,2.2756 Jupiters,10.191,1998,Gas Giant,1.19 x Jupiter,0.208317 AU,61.1 days,0.03,GJ 876,Radial Velocity,59,22h53m16.74s,-14d15m49.3s
245,245,GJ 876 c,15,0.7142 Jupiters,10.191,2000,Gas Giant,1.25 x Jupiter,0.12959 AU,30.1 days,0.26,GJ 876,Radial Velocity,59,22h53m16.74s,-14d15m49.3s
246,246,GJ 876 d,15,6.83 Earths,10.191,2005,Neptune-like,0.224 x Jupiter,0.020807 AU,1.9 days,0.21,GJ 876,Radial Velocity,59,22h53m16.74s,-14d15m49.3s
247,247,GJ 876 e,15,14.6 Earths,10.191,2010,Neptune-like,0.35 x Jupiter,0.3343 AU,124.3 days,0.06,GJ 876,Radial Velocity,59,22h53m16.74s,-14d15m49.3s
248,248,GJ 887 b,11,4.2 Earths,7.335,2020,Super Earth,1.88 x Earth,0.068 AU,9.3 days,0,GJ 887,Radial Velocity,,23h05m52.04s,-35d51m11.0s
249,249,GJ 887 c,11,7.6 Earths,7.335,2020,Neptune-like,0.238 x Jupiter,0.12 AU,21.8 days,0,GJ 887,Radial Velocity,,23h05m52.04s,-35d51m11.0s
250,250,GJ 9066 b,15,30.9 Earths,12.27,2020,Neptune-like,0.544 x Jupiter,0.403 AU,241.9 days,0.18,GJ 9066,Radial Velocity,,02h00m12.96s,+13d03m07.1s
251,251,GJ 9066 c,15,0.22528 Jupiters,12.27,2020,Gas Giant,0.892 x Jupiter,0.87 AU,2.1 years,0.33,GJ 9066,Radial Velocity,,02h00m12.96s,+13d03m07.1s
252,252,GJ 96 b,39,19.66 Earths,9.345,2018,Neptune-like,0.417 x Jupiter,0.291 AU,73.9 days,0.44,GJ 96,Radial Velocity,,02h22m14.64s,+47d52m48.1s
253,253,GJ 9827 b,97,4.91 Earths,10.25,2017,Super Earth,1.577 x Earth,0.0188 AU,1.2 days,0,GJ 9827,Transit,86.07,23h27m04.83s,-01d17m10.6s
254,254,GJ 9827 c,97,0.84 Earths,10.25,2017,Super Earth,1.241 x Earth,0.03925 AU,3.6 days,0,GJ 9827,Transit,88.19,23h27m04.83s,-01d17m10.6s
255,255,GJ 9827 d,97,4.04 Earths,10.25,2017,Neptune-like,2.022 x Earth,0.05591 AU,6.2 days,0,GJ 9827,Transit,87.443,23h27m04.83s,-01d17m10.6s
256,256,Gl 378 b,49,13.02 Earths,10.19,2019,Neptune-like,0.327 x Jupiter,0.039435 AU,3.8 days,0.11,Gl 378,Radial Velocity,,10h02m21.75s,+48d05m19.7s
257,257,Gl 49 b,32,5.63 Earths,9.56,2019,Neptune-like,0.2 x Jupiter,0.0905 AU,13.9 days,0.36,Gl 49,Radial Velocity,,01h02m38.87s,+62d20m42.2s
258,258,Gl 686 b,27,6.64 Earths,9.577,2018,Neptune-like,0.22 x Jupiter,0.0917 AU,15.5 days,0.08,Gl 686,Radial Velocity,,17h37m53.35s,+18d35m30.2s
404,404,HD 101930 b,98,0.25 Jupiters,8.21,2005,Gas Giant,0.949 x Jupiter,0.3 AU,70.5 days,0.11,HD 101930,Radial Velocity,,11h43m30.11s,-58d00m24.8s
406,406,HD 102195 b,96,0.41 Jupiters,8.062,2006,Gas Giant,1.27 x Jupiter,0.05 AU,4.1 days,0,HD 102195,Radial Velocity,,11h45m42.29s,+02d49m17.3s
410,410,HD 102365 b,30,16 Earths,4.91,2010,Neptune-like,0.369 x Jupiter,0.46 AU,122.1 days,0.34,HD 102365,Radial Velocity,,11h46m31.07s,-40d30m01.3s
416,416,HD 103949 b,87,11.2 Earths,8.69,2019,Neptune-like,0.299 x Jupiter,0.439 AU,120.9 days,0.19,HD 103949,Radial Velocity,,11h58m11.70s,-23d55m26.0s
417,417,HD 104067 b,66,0.16 Jupiters,7.93,2009,Gas Giant,0.729 x Jupiter,0.26 AU,55.8 days,0,HD 104067,Radial Velocity,,11h59m10.01s,-20d21m13.6s
424,424,HD 10647 b,57,0.94 Jupiters,5.52,2006,Gas Giant,1.23 x Jupiter,2.015 AU,2.7 years,0.15,HD 10647,Radial Velocity,,01h42m29.32s,-53d44m27.0s
439,439,HD 111232 b,95,7.14 Jupiters,7.59,2003,Gas Giant,1.13 x Jupiter,1.97 AU,3.1 years,0.2,HD 111232,Radial Velocity,,12h48m51.75s,-68d25m30.5s
443,443,HD 113538 b,52,0.36 Jupiters,9.057,2010,Gas Giant,1.18 x Jupiter,1.24 AU,1.8 years,0.14,HD 113538,Radial Velocity,,13h04m57.48s,-52d26m34.5s
444,444,HD 113538 c,52,0.93 Jupiters,9.057,2010,Gas Giant,1.24 x Jupiter,2.44 AU,5 years,0.2,HD 113538,Radial Velocity,,13h04m57.48s,-52d26m34.5s
446,446,HD 114386 b,91,1.14 Jupiters,8.73,2003,Gas Giant,1.22 x Jupiter,1.73 AU,2.6 years,0.23,HD 114386,Radial Velocity,,13h10m39.82s,-35d03m17.2s
447,447,HD 114613 b,66,0.357 Jupiters,4.85,2014,Gas Giant,1.17 x Jupiter,5.34 AU,11 years,0.46,HD 114613,Radial Velocity,,13h12m03.19s,-37d48m10.9s
450,450,HD 114783 b,67,1.1 Jupiters,7.55,2001,Gas Giant,1.23 x Jupiter,1.16 AU,493.7 days,0.14,HD 114783,Radial Velocity,,13h12m43.78s,-02d15m54.1s
451,451,HD 114783 c,67,0.611 Jupiters,7.55,2018,Gas Giant,1.26 x Jupiter,Unknown,11.8 years,0,HD 114783,Radial Velocity,,13h12m43.78s,-02d15m54.1s
467,467,HD 125595 b,92,6.3566 Earths,9.03,2009,Neptune-like,0.214 x Jupiter,0.08 AU,9.7 days,0,HD 125595,Radial Velocity,,14h21m23.18s,-40d23m38.2s
476,476,HD 128311 b,54,1.769 Jupiters,7.51,2002,Gas Giant,1.2 x Jupiter,1.084 AU,453 days,0.3,HD 128311,Radial Velocity,30,14h36m00.56s,+09d44m47.5s
477,477,HD 128311 c,54,3.789 Jupiters,7.51,2005,Gas Giant,1.16 x Jupiter,1.74 AU,2.5 years,0.16,HD 128311,Radial Velocity,55.95,14h36m00.56s,+09d44m47.5s
478,478,HD 128356 b,85,0.89 Jupiters,8.29,2016,Gas Giant,1.24 x Jupiter,0.87 AU,298.2 days,0.57,HD 128356,Radial Velocity,,14h37m04.89s,-25d48m09.2s
490,490,HD 134060 b,79,10.1 Earths,6.29,2019,Neptune-like,0.282 x Jupiter,0.0444 AU,3.3 days,0.45,HD 134060,Radial Velocity,,15h10m44.74s,-61d25m20.4s
491,491,HD 134060 c,79,29.29 Earths,6.29,2019,Neptune-like,0.527 x Jupiter,2.3928 AU,3.5 years,0.11,HD 134060,Radial Velocity,,15h10m44.74s,-61d25m20.4s
492,492,HD 134987 b,85,1.61 Jupiters,6.45,1999,Gas Giant,1.21 x Jupiter,0.81 AU,258.2 days,0.23,HD 134987,Radial Velocity,,15h13m28.67s,-25d18m33.6s
493,493,HD 134987 c,85,0.82 Jupiters,6.45,2009,Gas Giant,1.24 x Jupiter,5.8 AU,13.7 years,0.12,HD 134987,Radial Velocity,,15h13m28.67s,-25d18m33.6s
494,494,HD 136352 b,48,4.81 Earths,5.65,2019,Super Earth,2.04 x Earth,0.0934 AU,11.6 days,0.14,HD 136352,Radial Velocity,,15h21m48.15s,-48d19m03.5s
495,495,HD 136352 c,48,10.8 Earths,5.65,2019,Neptune-like,0.293 x Jupiter,0.1666 AU,27.6 days,0.04,HD 136352,Radial Velocity,,15h21m48.15s,-48d19m03.5s
496,496,HD 136352 d,48,8.58 Earths,5.65,2019,Neptune-like,0.256 x Jupiter,0.4128 AU,107.6 days,0.09,HD 136352,Radial Velocity,,15h21m48.15s,-48d19m03.5s
514,514,HD 142 b,85,1.25 Jupiters,5.7,2001,Gas Giant,1.22 x Jupiter,1.02 AU,349.7 days,0.17,HD 142245,Radial Velocity,,15h52m56.28s,+15d25m50.5s
515,515,HD 142 c,85,5.3 Jupiters,5.7,2012,Gas Giant,1.14 x Jupiter,6.8 AU,16.5 years,0.21,HD 142415,Radial Velocity,,15h57m40.79s,-60d12m00.9s
521,521,HD 1461 b,77,6.44 Earths,6.47,2010,Neptune-like,0.216 x Jupiter,0.0634 AU,5.8 days,< 0.172,HD 1461,Radial Velocity,,00h18m41.87s,-08d03m10.8s
522,522,HD 1461 c,77,5.59 Earths,6.47,2015,Neptune-like,2.23 x Earth,0.1117 AU,13.5 days,< 0.305,HD 1461,Radial Velocity,,00h18m41.87s,-08d03m10.8s
525,525,HD 147379 b,35,28.55 Earths,8.896,2017,Neptune-like,0.519 x Jupiter,0.323 AU,86.8 days,0.07,HD 147379,Radial Velocity,,16h16m42.75s,+67d14m19.8s
526,526,HD 147513 b,42,1.21 Jupiters,5.39,2003,Gas Giant,1.22 x Jupiter,1.32 AU,1.4 years,0.26,HD 147513,Radial Velocity,,16h24m01.29s,-39d11m34.7s
538,538,HD 150706 b,92,2.71 Jupiters,7.02,2012,Gas Giant,1.18 x Jupiter,6.7 AU,16.1 years,0.38,HD 150706,Radial Velocity,,16h31m17.59s,+79d47m23.2s
544,544,HD 154345 b,60,0.82 Jupiters,6.76,2006,Gas Giant,1.24 x Jupiter,4.21 AU,9.2 years,0.04,HD 154345,Radial Velocity,,17h02m36.41s,+47d04m54.8s
554,554,HD 156668 b,79,4.15 Earths,8.42,2010,Super Earth,1.87 x Earth,0.05 AU,4.6 days,0,HD 156668,Radial Velocity,,17h17m40.49s,+29d13m38.0s
557,557,HD 158259 b,88,2.22 Earths,6.46,2020,Super Earth,1.29 x Earth,Unknown,2.2 days,0,HD 158259,Radial Velocity,,17h25m24.05s,+52d47m26.5s
558,558,HD 158259 c,88,5.6 Earths,6.46,2020,Neptune-like,2.23 x Earth,Unknown,3.4 days,0,HD 158259,Radial Velocity,,17h25m24.05s,+52d47m26.5s
559,559,HD 158259 d,88,5.41 Earths,6.46,2020,Neptune-like,2.18 x Earth,Unknown,5.2 days,0,HD 158259,Radial Velocity,,17h25m24.05s,+52d47m26.5s
560,560,HD 158259 e,88,6.08 Earths,6.46,2020,Neptune-like,0.209 x Jupiter,Unknown,8 days,0,HD 158259,Radial Velocity,,17h25m24.05s,+52d47m26.5s
561,561,HD 158259 f,88,6.14 Earths,6.46,2020,Neptune-like,0.21 x Jupiter,Unknown,12 days,0,HD 158259,Radial Velocity,,17h25m24.05s,+52d47m26.5s
569,569,HD 160691 b,51,1.676 Jupiters,5.15,2000,Gas Giant,1.2 x Jupiter,1.497 AU,1.8 years,0.13,HD 160691,Radial Velocity,,17h44m08.70s,-51d50m02.6s
570,570,HD 160691 c,51,1.814 Jupiters,5.15,2004,Gas Giant,1.2 x Jupiter,5.235 AU,11.5 years,0.1,HD 160691,Radial Velocity,,17h44m08.70s,-51d50m02.6s
571,571,HD 160691 d,51,10.5547 Earths,5.15,2004,Neptune-like,0.289 x Jupiter,0.09094 AU,9.6 days,0.17,HD 160691,Radial Velocity,,17h44m08.70s,-51d50m02.6s
572,572,HD 160691 e,51,0.5219 Jupiters,5.15,2006,Gas Giant,1.27 x Jupiter,0.921 AU,310.6 days,0.07,HD 160691,Radial Velocity,,17h44m08.70s,-51d50m02.6s
578,578,HD 16417 b,83,22.1 Earths,5.78,2008,Neptune-like,0.446 x Jupiter,0.14 AU,17.2 days,0.2,HD 16417,Radial Velocity,,02h36m58.61s,-34d34m40.7s
580,580,HD 164595 b,92,16.14 Earths,7.1,2015,Neptune-like,0.371 x Jupiter,0.23 AU,40 days,0.09,HD 164595,Radial Velocity,,18h00m38.89s,+29d34m18.9s
582,582,HD 164922 b,72,0.36497 Jupiters,6.99,2005,Gas Giant,1.19 x Jupiter,2.16 AU,3.3 years,0.08,HD 164922,Radial Velocity,,18h02m30.86s,+26d18m46.8s
